ID,Latitude,Longitude,Level,Parent,MIPS,RAM,BW,Geo.Cluster,MIPS.Cluster,RAM.Cluster,BW.Cluster,State,Details
62,-37.81751,144.959237,2,5,100,200,80,4,1,1,1,VIC,Fog node
63,-37.820744,144.955485,2,5,100,200,80,4,1,1,1,VIC,Fog node
64,-37.817483,144.959445,2,5,200,500,100,4,1,1,1,VIC,Fog node
65,-37.818474,144.956805,2,5,700,200,80,4,0,1,1,VIC,Fog node
66,-37.818151,144.96081,2,5,250,1024,150,4,1,0,0,VIC,Fog node
67,-37.81922,144.958485,2,5,150,300,90,4,1,1,1,VIC,Fog node
68,-37.819101,144.954229,2,5,100,200,80,4,1,1,1,VIC,Fog node
69,-37.811269,144.957909,2,6,250,1024,150,5,1,0,0,VIC,Fog node
70,-37.813381,144.959612,2,6,1000,500,100,5,0,1,1,VIC,Fog node
71,-37.811978,144.962388,2,6,250,1024,150,5,1,0,0,VIC,Fog node
72,-37.812723,144.960164,2,6,700,200,80,5,0,1,1,VIC,Fog node
73,-37.812899,144.959886,2,6,100,200,80,5,1,1,1,VIC,Fog node
74,-37.812711,144.959971,2,6,75,150,50,5,1,1,1,VIC,Fog node
75,-37.811022,144.959234,2,6,1000,500,100,5,0,1,1,VIC,Fog node
76,-37.81215,144.961955,2,6,150,300,90,5,1,1,1,VIC,Fog node
77,-37.816356,144.962313,2,7,1000,1024,150,6,0,0,0,VIC,Fog node
78,-37.817303,144.962344,2,7,200,500,100,6,1,0,0,VIC,Fog node
79,-37.818166,144.964831,2,7,700,300,90,6,0,1,0,VIC,Fog node
80,-37.817261,144.962515,2,7,200,500,100,6,1,0,0,VIC,Fog node
81,-37.817069,144.961828,2,7,900,500,100,6,0,0,0,VIC,Fog node
82,-37.816158,144.960706,2,7,900,500,100,6,0,0,0,VIC,Fog node
83,-37.818018,144.964596,2,7,200,500,100,6,1,0,0,VIC,Fog node
84,-37.816122,144.964421,2,7,200,500,100,6,1,0,0,VIC,Fog node
85,-37.81653,144.961967,2,7,200,500,100,6,1,0,0,VIC,Fog node
86,-37.816209,144.961635,2,7,50,100,20,6,1,1,1,VIC,Fog node
87,-37.816822,144.963209,2,7,700,300,90,6,0,1,0,VIC,Fog node
88,-37.816891,144.961957,2,7,250,1024,150,6,1,0,0,VIC,Fog node
89,-37.815992,144.961028,2,7,50,100,20,6,1,1,1,VIC,Fog node
90,-37.816496,144.96509,2,7,700,300,90,6,0,1,0,VIC,Fog node
91,-37.81631,144.964351,2,7,75,150,50,6,1,1,1,VIC,Fog node
92,-37.817386,144.96123,2,7,900,300,90,6,0,1,0,VIC,Fog node
93,-37.81285,144.955026,2,8,200,500,100,7,1,0,0,VIC,Fog node
94,-37.812799,144.954686,2,8,50,100,20,7,1,1,1,VIC,Fog node
95,-37.811928,144.956414,2,8,700,200,80,7,0,1,0,VIC,Fog node
96,-37.812653,144.956622,2,8,200,500,100,7,1,0,0,VIC,Fog node
97,-37.812934,144.952075,2,8,150,300,90,7,1,1,0,VIC,Fog node
98,-37.812343,144.954135,2,8,150,300,90,7,1,1,0,VIC,Fog node
99,-37.812379,144.956402,2,8,100,200,80,7,1,1,0,VIC,Fog node
100,-37.813175,144.952919,2,8,50,100,20,7,1,1,1,VIC,Fog node
101,-37.81239,144.9712,2,9,75,150,50,8,1,1,1,VIC,Fog node
102,-37.812122,144.97071,2,9,50,100,20,8,1,1,1,VIC,Fog node
103,-37.812088,144.970836,2,9,50,100,20,8,1,1,1,VIC,Fog node
104,-37.811533,144.972614,2,9,250,1024,150,8,1,0,0,VIC,Fog node
105,-37.811313,144.972958,2,9,150,300,90,8,1,1,0,VIC,Fog node
106,-37.811398,144.972672,2,9,900,300,90,8,0,1,0,VIC,Fog node
107,-37.81517,144.97476,2,10,700,200,80,9,0,1,1,VIC,Fog node
108,-37.814225,144.971971,2,10,250,1024,150,9,1,0,0,VIC,Fog node
109,-37.814263,144.972105,2,10,75,150,50,9,1,1,1,VIC,Fog node
110,-37.814896,144.971668,2,10,250,1024,150,9,1,0,0,VIC,Fog node
111,-37.813463,144.973217,2,10,250,1024,150,9,1,0,0,VIC,Fog node
112,-37.81354,144.971421,2,10,50,100,20,9,1,1,1,VIC,Fog node
113,-37.813573,144.973404,2,10,1000,500,100,9,0,1,1,VIC,Fog node
114,-37.815195,144.974409,2,10,900,300,90,9,0,1,1,VIC,Fog node
115,-37.815371,144.973076,2,10,100,200,80,9,1,1,1,VIC,Fog node
116,-37.813545,144.971705,2,10,500,200,80,9,1,1,1,VIC,Fog node
117,-37.814265,144.971685,2,10,200,500,100,9,1,1,1,VIC,Fog node
118,-37.812084,144.967997,2,11,1200,1024,150,10,0,0,0,VIC,Fog node
119,-37.812845,144.968248,2,11,900,300,90,10,0,1,1,VIC,Fog node
120,-37.812578,144.965314,2,11,100,200,80,10,1,1,1,VIC,Fog node
121,-37.812857,144.96843,2,11,200,500,100,10,1,1,1,VIC,Fog node
122,-37.813447,144.966028,2,11,75,150,50,10,1,1,1,VIC,Fog node
123,-37.813167,144.965468,2,11,200,500,100,10,1,1,1,VIC,Fog node
124,-37.815461,144.962656,2,12,50,100,20,11,1,1,1,VIC,Fog node
125,-37.814989,144.960908,2,12,100,200,80,11,1,1,1,VIC,Fog node
126,-37.815196,144.96297,2,12,200,500,100,11,1,1,1,VIC,Fog node
127,-37.814398,144.96632,2,12,1200,1024,150,11,0,0,0,VIC,Fog node
128,-37.814257,144.96337,2,12,250,1024,150,11,1,0,0,VIC,Fog node
129,-37.814395,144.963537,2,12,500,200,80,11,1,1,1,VIC,Fog node
130,-37.814484,144.9635,2,12,700,300,90,11,0,1,1,VIC,Fog node
131,-37.809081,144.96893,2,13,900,500,100,12,0,1,1,VIC,Fog node
132,-37.810382,144.971223,2,13,150,300,90,12,1,1,1,VIC,Fog node
133,-37.809969,144.97078,2,13,150,300,90,12,1,1,1,VIC,Fog node
134,-37.809264,144.971708,2,13,150,300,90,12,1,1,1,VIC,Fog node
135,-37.809041,144.971828,2,13,75,150,50,12,1,1,1,VIC,Fog node
136,-37.809356,144.970729,2,13,150,300,90,12,1,1,1,VIC,Fog node
137,-37.810641,144.970534,2,13,250,1024,150,12,1,0,0,VIC,Fog node
138,-37.810269,144.969863,2,13,700,200,80,12,0,1,1,VIC,Fog node
